date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:26	100446/100446	---MCZ	200	added ('OK')	text/html	etag:W/%22d4396fa4a6df7cd38b32c5a1c73757e3%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-2.html	(from )
22:22:27	225/225	---MCZ	403	error ('Forbidden')	application/xml	date:Sat,%2009%20Sep%202023%2020:22:27%20GMT	https://demo.hasthemes.com/robots.txt		(from )
22:22:27	356/356	---M--	200	added ('OK')	image/png	etag:%220d5970d6d6b6f40c3da87f563fd498b5%22	https://demo.hasthemes.com/sheltek-preview/sheltek/images/icons/favicon.png	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/images/icons/favicon.png	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:29	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://demo.hasthemes.com/sheltek-preview/sheltek/css/bootstrap.min.css	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/css/bootstrap.min.css	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:29	3825/3825	---MCZ	200	added ('OK')	text/css	etag:W/%22e4a144adf40cc2ae046da356da452a1d%22	https://demo.hasthemes.com/sheltek-preview/sheltek/lib/css/nivo-slider.css	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/lib/css/nivo-slider.css	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:29	840/840	---MCZ	200	added ('OK')	text/css	etag:W/%2220f093252c783206b00d2811b4ddfd37%22	https://demo.hasthemes.com/sheltek-preview/sheltek/css/core.css	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/css/core.css	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:30	294/294	---MCZ	200	added ('OK')	text/css	etag:W/%2222ed848c27f25df6d7c2c64058e08b59%22	https://demo.hasthemes.com/sheltek-preview/sheltek/css/shortcode/shortcodes.css	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/css/shortcode/shortcodes.css	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:31	37635/37635	---MCZ	200	added ('OK')	text/css	etag:W/%2209557fede6005c4cee9004dff511f528%22	https://demo.hasthemes.com/sheltek-preview/sheltek/style.css	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/style.css	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:31	14209/14209	---MCZ	200	added ('OK')	text/css	etag:W/%2249a21a57d7d9490c5ea0bc363a194606%22	https://demo.hasthemes.com/sheltek-preview/sheltek/css/responsive.css	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/css/responsive.css	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:31	774/774	---MCZ	200	added ('OK')	text/css	etag:W/%2228e901aa2b5d694f5e36edd9b926f831%22	https://demo.hasthemes.com/sheltek-preview/sheltek/css/custom.css	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/css/custom.css	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:31	10585/10585	---MCZ	200	added ('OK')	text/css	etag:W/%22e71f822d77d8f8eb32bb0aa1c76c7e0f%22	https://demo.hasthemes.com/sheltek-preview/sheltek/css/style-customizer.css	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/css/style-customizer.css	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:31	15514/15514	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da941a6e1e1df098744318f6d25ba13a%22	https://demo.hasthemes.com/sheltek-preview/sheltek/js/vendor/modernizr-2.8.3.min.js	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/js/vendor/modernizr-2.8.3.min.js	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:32	105485/105485	---MCZ	200	added ('OK')	text/html	etag:W/%22541e8d1fff4ef99eb0804bcf62bb3dfa%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:32	3130/3130	---M--	200	added ('OK')	image/png	etag:%22e8e12d13bf58855062ce748652c74dec%22	https://demo.hasthemes.com/sheltek-preview/sheltek/images/logo/logo.png	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/images/logo/logo.png	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:32	1092/1092	---M--	200	added ('OK')	image/png	etag:%22dc8312afb8bcbd75db8204278f6ea89f%22	https://demo.hasthemes.com/sheltek-preview/sheltek/images/icons/phone.png	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/images/icons/phone.png	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:32	795/795	---M--	200	added ('OK')	image/png	etag:%22c06c3f44133d454770d52499a1f7525d%22	https://demo.hasthemes.com/sheltek-preview/sheltek/images/icons/mail-open.png	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/images/icons/mail-open.png	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
